timestamp_local,timestamp_utc,BG_long_ct_per_kWh,BG_short_ct_per_kWh,source_file
2024-01-01 00:00:00+01:00,2023-12-31 23:00:00+00:00,-1.67,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 00:15:00+01:00,2023-12-31 23:15:00+00:00,0.3,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 00:30:00+01:00,2023-12-31 23:30:00+00:00,-1.51,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 00:45:00+01:00,2023-12-31 23:45:00+00:00,-1.79,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 01:00:00+01:00,2024-01-01 00:00:00+00:00,-0.65,6.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 01:15:00+01:00,2024-01-01 00:15:00+00:00,0.54,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 01:30:00+01:00,2024-01-01 00:30:00+00:00,0.53,6.89,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 01:45:00+01:00,2024-01-01 00:45:00+00:00,-0.64,6.8,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 02:00:00+01:00,2024-01-01 01:00:00+00:00,-1.36,8.56,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 02:15:00+01:00,2024-01-01 01:15:00+00:00,0.02,7.9,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 02:30:00+01:00,2024-01-01 01:30:00+00:00,-1.39,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 02:45:00+01:00,2024-01-01 01:45:00+00:00,-2.06,7.23,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 03:00:00+01:00,2024-01-01 02:00:00+00:00,0.06,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 03:15:00+01:00,2024-01-01 02:15:00+00:00,-2.47,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 03:30:00+01:00,2024-01-01 02:30:00+00:00,-2.14,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 03:45:00+01:00,2024-01-01 02:45:00+00:00,-4.12,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 04:00:00+01:00,2024-01-01 03:00:00+00:00,-3.52,7.25,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 04:15:00+01:00,2024-01-01 03:15:00+00:00,-1.54,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 04:30:00+01:00,2024-01-01 03:30:00+00:00,0.06,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 04:45:00+01:00,2024-01-01 03:45:00+00:00,-0.35,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 05:00:00+01:00,2024-01-01 04:00:00+00:00,-0.16,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 05:15:00+01:00,2024-01-01 04:15:00+00:00,-0.09,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 05:30:00+01:00,2024-01-01 04:30:00+00:00,0.06,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 05:45:00+01:00,2024-01-01 04:45:00+00:00,-0.71,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 06:00:00+01:00,2024-01-01 05:00:00+00:00,-0.18,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 06:15:00+01:00,2024-01-01 05:15:00+00:00,-0.21,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 06:30:00+01:00,2024-01-01 05:30:00+00:00,0.04,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 06:45:00+01:00,2024-01-01 05:45:00+00:00,-0.1,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 07:00:00+01:00,2024-01-01 06:00:00+00:00,-1.72,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 07:15:00+01:00,2024-01-01 06:15:00+00:00,-0.11,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 07:30:00+01:00,2024-01-01 06:30:00+00:00,-3.62,6.49,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 07:45:00+01:00,2024-01-01 06:45:00+00:00,-1.68,6.16,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 08:00:00+01:00,2024-01-01 07:00:00+00:00,-6.54,6.16,swissgrid-prices-for-balance-energy_240101-240201.xlsx
2024-01-01 08:15:00+01:00,2024-01-01 07:15:00+00:00,-12.19,6.16,swissgrid-prices-for-balance-energy_240101-240201.xlsx
